fold,scenario,test,auc,f1,precision,recall,fpr,pos,valid,events,detected,feat_ms_mean,window_ms_mean,window_ms_p99,misses,csec_wait_max_ms,peak_rss_MiB,stream_vs_batch,realtime
S04_line_trip,S04_line_trip,T3,0.777689101711448,0.49710982658959535,0.9148936170212766,0.3412698412698413,0.0074487895716946,126,663,2,2,0.16035161912441254,3.7984399795532227,5.345014600753784,0,1960.0,265.2109375,1.043081283569336e-07,True
S04_line_trip,S04_line_trip,T3a,0.6213088587390263,0.35443037974683544,0.875,0.2222222222222222,0.0074487895716946,126,663,2,2,0.15868894755840302,3.576760768890381,4.4556850862503055,0,890.0,268.5,1.043081283569336e-07,True
S04_line_trip,S04_line_trip,no_attack,nan,0.0,0.0,0.0,0.006738544474393531,0,742,0,0,0.18084006011486053,3.6628425121307373,5.160028548240663,0,0.0,263.83203125,3.6991302021505135e-08,True
S05_load_step,S05_load_step,A1,0.9981123171307221,0.9788519637462235,0.9642857142857143,0.9938650306748467,0.01048951048951049,163,735,3,3,0.1625269651412964,3.742706060409546,5.40610502243042,0,1950.0,264.03515625,3.3527612686157227e-08,True
S05_load_step,S05_load_step,A2,0.9625078245972393,0.5962059620596206,0.9565217391304348,0.4330708661417323,0.010460251046025104,254,732,4,4,0.16280819475650787,3.7700681686401367,5.413293604850771,0,1660.0000000000002,264.01171875,3.3527612686157227e-08,True
S05_load_step,S05_load_step,A3,0.9869088846429425,0.9722222222222222,0.9545454545454546,0.9905660377358491,0.007911392405063292,106,738,2,2,0.15625229477882385,3.469257354736328,4.604234619140626,0,0.0,263.8515625,0.0,True
S05_load_step,S05_load_step,A4,0.9999360920274805,0.9850746268656716,0.9705882352941176,1.0,0.008787346221441126,165,734,3,3,0.16481925547122955,3.8441238403320312,5.3747612237930324,0,2180.0,264.0234375,1.1175870895385742e-07,True
S05_load_step,S05_load_step,A5,0.9748074991630399,0.9702127659574468,0.957983193277311,0.9827586206896551,0.008090614886731391,116,734,3,3,0.15699610114097595,3.641615390777588,5.216727252006531,0,1660.0000000000002,263.8828125,3.3527612686157227e-08,True
S05_load_step,S05_load_step,T1,0.9836404914529915,0.9449838187702265,0.954248366013072,0.9358974358974359,0.012152777777777778,156,732,3,3,0.15550944209098816,3.5370256900787354,4.511608238220216,0,2970.0,263.94921875,4.0978193283081055e-08,True
S05_load_step,S05_load_step,T2,0.9932002314814814,0.9712460063897763,0.9681528662420382,0.9743589743589743,0.008680555555555556,156,732,3,3,0.15614205598831177,3.546177387237549,4.9242491436004645,0,1660.0000000000002,264.18359375,3.3527612686157227e-08,True
