t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
240.97,0.956108993579889,0.956108993525062,0.956108993612827,67.5747348815321,67.5747348815321,25.8781209947582,7.69394296571155,37.1052404766083,22.7755514392123,0,1,1.00004287757663,0,0,0.0525057550372774,7.48207009281203
240.98,0.956516133856549,0.956516133802858,0.956516133889311,68.6117558505572,68.6117558505572,26.2222123670645,8.69228472329969,37.12450562584,22.7949655014175,0,1,0.999871072520698,0,0,0.0571439303733406,8.14301007820104
240.99,0.956905739668225,0.956905739615098,0.956905739700148,68.2086646305527,68.2086646305527,26.092811943245,8.252275169862,37.1428813285035,22.8135081321872,0,1,0.999983199475156,0,0,0.0519287594778581,7.39984822559478
241,0.957256713078923,0.95725671302726,0.957256713110744,66.4071057173894,66.4071057173894,25.5034475992456,6.41734162365679,37.1594213340871,22.8303427596454,0,1,1.00027923719321,0,0,0.0429304591806556,6.11759043324342
241.01,0.957609278046563,0.957609277994868,0.957609278078035,68.5605488978117,68.5605488978117,26.2140497465822,8.53724240169159,37.17607853006,22.8472279660601,0,1,0.999871601971448,0,0,0.047671702879517,6.79321766033117
241.02,0.957962279437458,0.957962279386749,0.957962279468807,67.2239463798162,67.2239463798162,25.7775282449085,7.16703215401509,37.1927329688869,22.8641812569141,0,1,1.00008460939584,0,0,0.0571536339972055,8.14439284460178
241.03,0.958282701601695,0.958282701552563,0.958282701633438,66.1613325579167,66.1613325579167,25.4307931614465,6.07397987176481,37.2077878891741,22.8795647969777,0,1,1.00026138259825,0,0,0.0413271361200533,5.8891168971076
241.04,0.958572583154667,0.958572583105979,0.958572583185538,68.4470892755374,68.4470892755374,26.1843719732548,8.33217611253656,37.2214026361025,22.8935105268983,0,1,0.999816190449089,0,0,0.055571037890585,7.91887289940836
241.05,0.95885049474075,0.958850494692548,0.958850494771668,69.1644995526165,69.1644995526165,26.4223409299875,9.02351956764206,37.2343049116289,22.9066750733455,0,1,0.999772561322848,0,0,0.0501239327129428,7.14266041159434
241.06,0.959096686974177,0.959096686926113,0.959096687004509,68.9677040185894,68.9677040185894,26.3595692017353,8.80360656521773,37.2456906370183,22.9184068163534,0,1,0.999838280075416,0,0,0.0611666612517887,8.71624922837989
