t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
106.36,0.939093967543208,0.939093967600928,0.939093967343432,108.133301187472,108.133301187472,40.9100552957515,39.311210154613,46.9043507399814,21.9177402928777,0,0.995005707323505,1.10918146861564,-0,0,0.272178057740853,38.7853732280715
106.37,0.939220443046624,0.939220443104839,0.939220442845796,107.655771528095,107.655771528095,40.7546332202135,38.8195117582752,46.9120685972885,21.9241911725313,0,0.995005707323505,1.10950928471465,-0,0,0.265271327785779,37.8011642094736
106.38,0.939337924640922,0.939337924705927,0.939337924443166,108.43247098702,108.43247098702,41.0113410246564,39.5830962395129,46.9192043818984,21.9301703656086,0,0.995005707323505,1.1091422577127,-0,0,0.258985364247649,36.90541440529
106.39,0.939455081397641,0.939455081456391,0.939455081199595,106.99790319361,106.99790319361,40.5412212619009,38.1355341968017,46.9262318818116,21.9361371149962,0,0.995005707323505,1.10987820526529,-0,0,0.24463932092965,34.8611032324752
106.4,0.939583167488446,0.939583167545554,0.939583167289988,106.670418655598,106.670418655598,40.4351273234011,37.7937369032554,46.9339945516651,21.9426872006774,0,0.995005707323505,1.11022609850404,-0,0,0.243096708006835,34.641280890974
106.41,0.939705743940477,0.939705744004956,0.939705743743421,105.729252152727,105.729252152727,40.1272524949459,36.8388889463201,46.9413784117467,21.9489847946603,0,0.995005707323505,1.1107964314873,-0,0,0.233214225739975,33.2330271679464
106.42,0.939822972848496,0.939822972909948,0.939822972652019,105.136620989112,105.136620989112,39.9338753152522,36.2330886452831,46.9484491306693,21.9550832131595,0,0.995005707323505,1.11128559344541,-0,0,0.234023330752151,33.3483246321815
106.43,0.939969845354091,0.939969845412539,0.939969845156437,103.621892388408,103.621892388408,39.4377786456457,34.7019304771185,46.9573399894166,21.9626219218726,0,0.995005707323505,1.11229611020688,-0,0,0.239027733770373,34.0614520622781
106.44,0.940116639885338,0.940116639949281,0.94011663968943,102.166956003574,102.166956003574,38.9613323363989,33.2305645926326,46.9662145200379,21.9701768909034,0,0.995005707323505,1.11319625164382,-0,0,0.214400137963309,30.5520196597716
106.45,0.94026966853592,0.940269668601634,0.940269668343115,102.077047993667,102.077047993667,38.9336416848724,33.1233665732516,46.9755537284821,21.9781276919335,0,0.995005707323505,1.11363621700761,-0,0,0.23145971236702,32.9830090123003
106.46,0.940404893017512,0.940404893077053,0.940404892822918,103.006814413956,103.006814413956,39.2408630474371,34.0380320378024,46.9836886026603,21.9850937734935,0,0.995005707323505,1.11307286571996,-0,0,0.235387530008801,33.5427230262542
106.47,0.940717185221444,0.940717185293225,0.940717185027918,101.774016972685,101.774016972685,38.8394140860903,32.7710580984056,47.002668249313,22.0002906249662,0,0.995005707323505,1.11366841925324,-0,0,0.217730172806242,31.0265496248895
106.48,0.941464671298064,0.941464671361215,0.941464671108932,102.109594344027,102.109594344027,38.9587763234821,33.0249764139864,47.0487077097083,22.0359102203322,0,0.995005707323505,1.11367539564074,-0,0,0.214822309276994,30.6121790719716
106.49,0.94227853038147,0.94227853043391,0.942278530194339,102.35338357827,102.35338357827,39.0487762075975,33.1798840529799,47.098858466117,22.0746410591726,0,0.995005707323505,1.1136889432956,-0,0,0.229748156999857,32.7391123724797
106.5,0.943075037980921,0.943075038029438,0.943075037794147,103.950965023083,103.950965023083,39.583522948865,34.6906419241636,47.1478876454356,22.1124354534842,0,0.995005707323505,1.11269963444057,-0,0,0.23637081909446,33.6828417209606
106.51,0.943821210950703,0.943821211000058,0.943821210768732,102.823198772693,102.823198772693,39.2218535290449,33.4817152927078,47.1936619518254,22.1478215281593,0,0.995005707323505,1.11315914788119,-0,0,0.216549343027838,30.8582813814669
106.52,0.944549320250096,0.944549320293389,0.944549320070335,103.01648940306,103.01648940306,39.2941986387201,33.5955658244227,47.238433845631,22.1824897330062,0,0.995005707323505,1.11335366393215,-0,0,0.236397513136856,33.6866456220019
106.53,0.945243008930925,0.945243008970601,0.945243008751969,104.801098846448,104.801098846448,39.8891505639082,35.3047014641436,47.2810111519318,22.2153862303724,0,0.995005707323505,1.11223461943767,-0,0,0.236990421247562,33.7711350277776
106.54,0.945926432161097,0.945926432203978,0.945926431983133,103.835410399576,103.835410399576,39.5799798537431,34.2647709778227,47.3228489891714,22.2477904325822,0,0.995005707323505,1.11269746910905,-0,0,0.236336096705977,33.6778937806018
106.55,0.946563744010943,0.946563744047795,0.946563743836911,104.30288771251,104.30288771251,39.7413139216934,34.6629732361143,47.3618683306067,22.2780461457892,0,0.995005707323505,1.11251069527859,-0,0,0.23682781634391,33.7479638290072
106.56,0.94716853317425,0.94716853320712,0.94716853300073,104.132907791122,104.132907791122,39.6927194219852,34.42735339087,47.398818034449,22.3067363658029,0,0.995005707323505,1.11251957085944,-0,0,0.214342773733643,30.5438452570442
106.57,0.947746034872004,0.947746034907136,0.947746034700638,102.349801123788,102.349801123788,39.1135966904353,32.5813646114502,47.4341243283402,22.3343121839979,0,0.995005707323505,1.11378217604465,-0,0,0.211734527182954,30.172170123571
106.58,0.948296048769985,0.948296048804106,0.948296048601003,103.245848777223,103.245848777223,39.4147512588134,33.4174127700694,47.4678185961942,22.3606174109593,0,0.995005707323505,1.11346774889393,-0,0,0.211636253164255,30.1581660759063
106.59,0.948811348086929,0.948811348115499,0.948811347917953,101.964360745715,101.964360745715,38.9997519417934,32.0797281233456,47.4992977969676,22.3853348254023,0,0.995005707323505,1.11438065812298,-0,0,0.228590729311617,32.5741789269055
106.6,0.949279811886202,0.949279811917353,0.949279811717755,103.000891027618,103.000891027618,39.3460716038973,33.065291066035,47.5278533334763,22.4077466281064,0,0.995005707323505,1.11370851521826,-0,0,0.214250498422883,30.5306960252608
106.61,0.949732476351501,0.949732476383055,0.949732476186319,102.762457116537,102.762457116537,39.2731281275563,32.7776644778186,47.5553699974319,22.4294226412862,0,0.995005707323505,1.11388244908181,-0,0,0.214653499407499,30.5881236655687
106.62,0.950143783269553,0.950143783298088,0.950143783106708,102.254401645606,102.254401645606,39.1110548885827,32.2249531623246,47.5802883390082,22.4491601442728,0,0.995005707323505,1.11424115405065,-0,0,0.211421024804617,30.1274960346579
106.63,0.950528550395476,0.950528550423102,0.950528550232118,101.413290282102,101.413290282102,38.8391890096283,31.3420366530127,47.6035583017842,22.4676953273049,0,0.995005707323505,1.11487043751704,-0,0,0.207802548497462,29.6118631608884
106.64,0.950908228882218,0.950908228914133,0.950908228721203,99.440232174021,99.440232174021,38.195215055913,29.3275970156656,47.6265348258798,22.4861003324756,0,0.995005707323505,1.11629112502361,-0,0,0.198123754572043,28.2326350265161
106.65,0.951280693319782,0.951280693349348,0.95128069315949,99.1760881273197,99.1760881273197,38.1128661366332,29.0226685081777,47.6491648598315,22.5042547593105,0,0.995005707323505,1.11681336423166,-0,0,0.198968043030443,28.3529461318382
106.66,0.951601137062509,0.951601137086794,0.951601136903869,100.165023333461,100.165023333461,38.4417398823296,29.9766213907485,47.6685185856269,22.5198833570852,0,0.995005707323505,1.1163070892156,-0,0,0.206859245415685,29.4774424717351
