t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
144.36,0.981125630150667,0.981125630423752,0.981125630408594,279.844243096906,279.844243096906,59.2265824670962,177.100969182973,74.2065914259936,28.5366824879398,0,1,1.00028942151995,0,0,0.915107998420713,167.46476371099
144.37,0.980881591160463,0.980881591434056,0.980881591418815,279.399403076324,279.399403076324,59.3952620233555,176.689828342082,74.1875729439214,28.5220017903205,0,1,1.00029990668759,0,0,0.914991607811419,167.44346422949
144.38,0.980622527595372,0.980622527868876,0.980622527853528,282.161526449272,282.161526449272,59.5737382334945,179.487651387925,74.1674041612974,28.5064709000499,0,1,0.999961429950366,0,0,0.942674225870193,172.509383334245
144.39,0.980349044639351,0.980349044913412,0.980349044898763,278.264512965503,278.264512965503,59.7617632346494,175.62839102105,74.1460137535231,28.49010819093,0,1,1.00037219697836,0,0,0.932945246298376,170.728980072603
144.4,0.980088946103242,0.980088946377069,0.980088946362037,278.840013007936,278.840013007936,59.9400513929456,176.239579913668,74.1258318376709,28.474601256597,0,1,1.00026824094667,0,0,0.927981596463352,169.820632152793
144.41,0.979793464448107,0.979793464722032,0.979793464707304,278.391103067614,278.391103067614,60.1418158383765,175.831272185979,74.1027814905435,28.4570493910916,0,1,1.00029189341065,0,0,0.919365427686304,168.243873266594
144.42,0.979520643021148,0.979520643294554,0.979520643279541,282.357582759112,282.357582759112,60.329185969999,179.835229533718,74.0815900918783,28.4407631335151,0,1,0.999860483544904,0,0,0.942500263242521,172.477548173381
144.43,0.979234212139807,0.979234212414414,0.979234212400152,281.010646286449,281.010646286449,60.5273225665407,178.527963751129,74.0591379462295,28.4235445890902,0,1,1.00007970294842,0,0,0.938523441366462,171.749789770063
144.44,0.978939534542273,0.978939534816869,0.978939534801715,278.467759882486,278.467759882486,60.729854979724,176.025716649235,74.0360971912051,28.4059460420453,0,1,1.00037880960429,0,0,0.914601192731282,167.372018269825
144.45,0.978646913751123,0.978646914025357,0.978646914011078,280.037109702141,280.037109702141,60.9291862627879,177.635070577929,74.0134084649237,28.3886306592885,0,1,1.00015485905837,0,0,0.921620248576988,168.656505489589
144.46,0.978351476809842,0.978351477084292,0.97835147706916,277.73690384924,277.73690384924,61.1286958493933,175.375033350867,73.9905703226399,28.3713001757338,0,1,1.00030765754466,0,0,0.928264422485735,169.87238931489
144.47,0.978052408869336,0.978052409144119,0.978052409130585,278.824312115301,278.824312115301,61.3327576295817,176.50339123933,73.9673360689467,28.3535848070249,0,1,1.00019301788026,0,0,0.916204911578754,167.665498818912
144.48,0.977744211135496,0.977744211411066,0.977744211396169,277.163570730095,277.163570730095,61.5405567535233,174.884534846407,73.9434922454659,28.3355436382221,0,1,1.00029132053273,0,0,0.918187558525125,168.028323210098
144.49,0.977431829142298,0.977431829417247,0.977431829403047,276.386765239513,276.386765239513,61.7512968554107,174.150201893171,73.9193101956074,28.3172531507354,0,1,1.00031722755343,0,0,0.912364105426447,166.96263129304
144.5,0.977124895988152,0.977124896263042,0.977124896248561,279.893563887333,279.893563887333,61.9603825473884,177.698958752563,73.8954862771579,28.2991188576118,0,1,0.999956641422156,0,0,0.915499424057055,167.536394602441
144.51,0.9767273196905,0.976727319966826,0.976727319951602,279.937093072809,279.937093072809,62.2297516309599,177.79706241044,73.8642855987791,28.2757450635904,0,1,0.999954395043332,0,0,0.931497901417005,170.464115959312
144.52,0.976310409449835,0.976310409726542,0.976310409709239,279.149292029395,279.149292029395,62.5122247472093,177.066546433282,73.8315031918095,28.2512424043036,0,1,1.00003922925072,0,0,0.938422146806961,171.731252865674
144.53,0.97589932310168,0.975899323379288,0.975899323362434,278.014181399013,278.014181399013,62.7908215334302,175.987895849397,73.7991977660558,28.2270877835604,0,1,1.00015580246975,0,0,0.933037120341135,170.745793022428
144.54,0.975483575299309,0.975483575577669,0.975483575560575,281.192679177908,281.192679177908,63.074438368225,179.223722696651,73.7664424508206,28.2025140304369,0,1,0.999860918064881,0,0,0.938199787054384,171.690561030952
144.55,0.975066202517379,0.975066202796733,0.975066202778406,280.199466968271,280.199466968271,63.3595052050716,178.28813746959,73.7335043305002,28.1778251681805,0,1,1.00002350439622,0,0,0.936001780606743,171.288325851034
144.56,0.97464224547929,0.974642245758674,0.974642245739422,279.912821614041,279.912821614041,63.6496958031478,178.060104615463,73.7000115355818,28.1527054629962,0,1,1.00012127946353,0,0,0.919322287756806,168.235978659496
