t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
261.55,1.02689997795837,1.02689997780143,1.02689997788897,82.0443429740993,82.0443429740993,10.903918375959,32.6946303820425,28.3184286337037,21.031283958353,0,0.998170582656102,1.00030196059219,-0,0,0.246104633783198,30.5169745891165
261.56,1.02710179316352,1.02710179300744,1.02710179309492,82.7795529927325,82.7795529927325,10.9090413150491,33.4160022493761,28.3244233961741,21.0391273471823,0,0.998170582656102,1.00012556472072,-0,0,0.258563071342094,32.0618208464197
261.57,1.02728760082177,1.02728760066653,1.02728760075328,82.4176727859251,82.4176727859251,10.9137951340027,33.0413104864138,28.3300476581863,21.046314641325,0,0.998170582656102,1.00012868165161,-0,0,0.255546741341322,31.6877959263239
261.58,1.02748563312262,1.02748563296744,1.02748563305449,80.4473797676829,80.4473797676829,10.9188506333703,31.0573290865899,28.3358948311632,21.0541558499298,0,0.998170582656102,1.00020382602363,-0,0,0.247535840800383,30.6944442592475
261.59,1.02773508156993,1.02773508141344,1.02773508149982,80.2216127845843,80.2216127845843,10.9251702397037,30.8143986233231,28.3430939379124,21.0641202233488,0,0.998170582656102,1.00017674665026,-0,0,0.237055850582705,29.3949254722555
261.6,1.02803641995277,1.02803641979909,1.02803641989157,78.3248090205593,78.3248090205593,10.9327321447762,28.8969517701404,28.3514866534736,21.0763705969453,0,0.998170582656102,1.00021196692646,-0,0,0.231049413069347,28.6501272205991
261.61,1.02780274252697,1.02780274237148,1.02780274246452,79.4153617492014,79.4153617492014,10.9273912521526,30.0024283567235,28.3462784889418,21.0666549035361,0,0.998170582656102,1.00005369498318,-0,0,0.233694874619182,28.9781644527786
261.62,1.02743825511218,1.0274382549518,1.02743825504596,78.2589237381142,78.2589237381142,10.9188934954219,28.8696007377964,28.3377109537943,21.0516120465235,0,0.998170582656102,1.00012732756875,-0,0,0.224459283147041,27.8329511102331
261.63,1.02704040585027,1.02704040568421,1.02704040577916,77.1586774936728,77.1586774936728,10.9095930784308,27.7951681284475,28.328278506232,21.0352308589933,0,0.998170582656102,1.0002017591036,-0,0,0.20908872627957,25.9270020586667
261.64,1.02665524123162,1.0266552410595,1.02665524115645,77.6451385947601,77.6451385947601,10.9006064600136,28.3065523223273,28.3191238397837,21.0194624326491,0,0.998170582656102,1.00006622990843,-0,0,0.21901149090574,27.1574248723118
261.65,1.02627271066842,1.02627271049189,1.02627271058902,75.4788586569079,75.4788586569079,10.8916663475012,26.1650498487585,28.3099821223013,21.0038266858481,0,0.998170582656102,1.00020292754579,-0,0,0.203080346903772,25.1819630160677
