16.257 09-16-2026 16:31:03 RAM 2172/7486MB (lfb 24x4MB) CPU [8%@729,5%@729,7%@729,5%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@43.156C/43.437C soc2@42.906C/43.062C soc0@43.5C/43.656C gpu@43.25C/43.593C tj@43.468C/43.656C soc1@42.406C/42.531C VDD_IN 3099mW/3060mW/3341mW VDD_CPU_GPU_CV 523mW/499mW/683mW VDD_SOC 1006mW/1008mW/1046mW
16.765 09-16-2026 16:31:04 RAM 2172/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.437C soc2@42.937C/43.062C soc0@43.562C/43.656C gpu@43.437C/43.593C tj@43.593C/43.656C soc1@42.343C/42.531C VDD_IN 3059mW/3060mW/3341mW VDD_CPU_GPU_CV 483mW/499mW/683mW VDD_SOC 1006mW/1008mW/1046mW
17.277 09-16-2026 16:31:04 RAM 2172/7486MB (lfb 24x4MB) CPU [3%@729,1%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.437C soc2@42.906C/43.062C soc0@43.468C/43.656C gpu@43.218C/43.593C tj@43.406C/43.656C soc1@42.312C/42.531C VDD_IN 3059mW/3060mW/3341mW VDD_CPU_GPU_CV 483mW/498mW/683mW VDD_SOC 1006mW/1008mW/1046mW
17.784 09-16-2026 16:31:05 RAM 2172/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,1%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.312C/43.437C soc2@43C/43.062C soc0@43.343C/43.656C gpu@43.437C/43.593C tj@43.437C/43.656C soc1@42.312C/42.531C VDD_IN 3019mW/3059mW/3341mW VDD_CPU_GPU_CV 483mW/498mW/683mW VDD_SOC 1006mW/1008mW/1046mW
18.294 09-16-2026 16:31:05 RAM 2171/7486MB (lfb 24x4MB) CPU [3%@729,1%@729,0%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.437C soc2@42.968C/43.062C soc0@43.406C/43.656C gpu@43.031C/43.593C tj@43.406C/43.656C soc1@42.406C/42.531C VDD_IN 3019mW/3058mW/3341mW VDD_CPU_GPU_CV 483mW/497mW/683mW VDD_SOC 1006mW/1008mW/1046mW
18.801 09-16-2026 16:31:06 RAM 2171/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.437C soc2@42.875C/43.062C soc0@43.593C/43.656C gpu@43.125C/43.593C tj@43.593C/43.656C soc1@42.343C/42.531C VDD_IN 3019mW/3057mW/3341mW VDD_CPU_GPU_CV 483mW/497mW/683mW VDD_SOC 1006mW/1008mW/1046mW
19.309 09-16-2026 16:31:06 RAM 2172/7486MB (lfb 24x4MB) CPU [4%@729,4%@729,11%@729,11%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.187C/43.437C soc2@42.906C/43.062C soc0@43.593C/43.656C gpu@43.156C/43.593C tj@43.593C/43.656C soc1@42.375C/42.531C VDD_IN 3139mW/3059mW/3341mW VDD_CPU_GPU_CV 523mW/498mW/683mW VDD_SOC 1006mW/1008mW/1046mW
19.817 09-16-2026 16:31:07 RAM 2172/7486MB (lfb 24x4MB) CPU [1%@729,3%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.031C/43.437C soc2@42.906C/43.062C soc0@43.531C/43.656C gpu@43.312C/43.593C tj@43.531C/43.656C soc1@42.312C/42.531C VDD_IN 3099mW/3060mW/3341mW VDD_CPU_GPU_CV 483mW/497mW/683mW VDD_SOC 1006mW/1008mW/1046mW
20.324 09-16-2026 16:31:07 RAM 2172/7486MB (lfb 24x4MB) CPU [2%@729,0%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.437C soc2@42.906C/43.062C soc0@43.468C/43.656C gpu@43.187C/43.593C tj@43.468C/43.656C soc1@42.343C/42.531C VDD_IN 3059mW/3060mW/3341mW VDD_CPU_GPU_CV 483mW/497mW/683mW VDD_SOC 1006mW/1008mW/1046mW
20.831 09-16-2026 16:31:08 RAM 2172/7486MB (lfb 24x4MB) CPU [1%@729,2%@729,1%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@42.906C/43.437C soc2@42.875C/43.062C soc0@43.562C/43.656C gpu@43.25C/43.593C tj@43.562C/43.656C soc1@42.406C/42.531C VDD_IN 3019mW/3059mW/3341mW VDD_CPU_GPU_CV 483mW/497mW/683mW VDD_SOC 1006mW/1008mW/1046mW
21.339 09-16-2026 16:31:09 RAM 2171/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43C/43.437C soc2@42.937C/43.062C soc0@43.5C/43.656C gpu@43.406C/43.593C tj@43.5C/43.656C soc1@42.468C/42.531C VDD_IN 3019mW/3058mW/3341mW VDD_CPU_GPU_CV 483mW/496mW/683mW VDD_SOC 1006mW/1008mW/1046mW
21.847 09-16-2026 16:31:09 RAM 2171/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.031C/43.437C soc2@42.906C/43.062C soc0@43.468C/43.656C gpu@43.156C/43.593C tj@43.468C/43.656C soc1@42.5C/42.531C VDD_IN 3019mW/3057mW/3341mW VDD_CPU_GPU_CV 483mW/496mW/683mW VDD_SOC 1006mW/1008mW/1046mW
22.356 09-16-2026 16:31:10 RAM 2173/7486MB (lfb 24x4MB) CPU [8%@729,2%@729,9%@729,6%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.968C/43.437C soc2@42.906C/43.062C soc0@43.468C/43.656C gpu@43.156C/43.593C tj@43.468C/43.656C soc1@42.531C/42.531C VDD_IN 3139mW/3059mW/3341mW VDD_CPU_GPU_CV 523mW/497mW/683mW VDD_SOC 1006mW/1008mW/1046mW
22.863 09-16-2026 16:31:10 RAM 2173/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.437C soc2@42.937C/43.062C soc0@43.437C/43.656C gpu@43.156C/43.593C tj@43.437C/43.656C soc1@42.437C/42.531C VDD_IN 3059mW/3059mW/3341mW VDD_CPU_GPU_CV 483mW/496mW/683mW VDD_SOC 1006mW/1008mW/1046mW
23.372 09-16-2026 16:31:11 RAM 2172/7486MB (lfb 24x4MB) CPU [19%@729,2%@729,3%@729,1%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.312C/43.437C soc2@43C/43.062C soc0@43.437C/43.656C gpu@43.375C/43.593C tj@43.437C/43.656C soc1@42.406C/42.531C VDD_IN 3059mW/3059mW/3341mW VDD_CPU_GPU_CV 523mW/497mW/683mW VDD_SOC 1006mW/1008mW/1046mW
23.881 09-16-2026 16:31:11 RAM 2172/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.281C/43.437C soc2@42.937C/43.062C soc0@43.375C/43.656C gpu@43.093C/43.593C tj@43.468C/43.656C soc1@42.5C/42.531C VDD_IN 3059mW/3059mW/3341mW VDD_CPU_GPU_CV 483mW/497mW/683mW VDD_SOC 1006mW/1008mW/1046mW
24.390 09-16-2026 16:31:12 RAM 2172/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.437C soc2@42.875C/43.062C soc0@43.468C/43.656C gpu@43.062C/43.593C tj@43.468C/43.656C soc1@42.468C/42.531C VDD_IN 3019mW/3058mW/3341mW VDD_CPU_GPU_CV 483mW/496mW/683mW VDD_SOC 1006mW/1008mW/1046mW
24.897 09-16-2026 16:31:12 RAM 2172/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.437C soc2@42.968C/43.062C soc0@43.375C/43.656C gpu@43.187C/43.593C tj@43.437C/43.656C soc1@42.5C/42.531C VDD_IN 3019mW/3057mW/3341mW VDD_CPU_GPU_CV 483mW/496mW/683mW VDD_SOC 1006mW/1008mW/1046mW
25.405 09-16-2026 16:31:13 RAM 2173/7486MB (lfb 24x4MB) CPU [11%@729,9%@729,8%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.437C soc2@43.031C/43.062C soc0@43.375C/43.656C gpu@43.093C/43.593C tj@43.375C/43.656C soc1@42.406C/42.531C VDD_IN 3220mW/3061mW/3341mW VDD_CPU_GPU_CV 522mW/497mW/683mW VDD_SOC 1004mW/1008mW/1046mW
25.913 09-16-2026 16:31:13 RAM 2173/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,1%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.343C/43.437C soc2@42.968C/43.062C soc0@43.312C/43.656C gpu@43.218C/43.593C tj@43.343C/43.656C soc1@42.437C/42.531C VDD_IN 3099mW/3061mW/3341mW VDD_CPU_GPU_CV 483mW/496mW/683mW VDD_SOC 1006mW/1007mW/1046mW
26.420 09-16-2026 16:31:14 RAM 2172/7486MB (lfb 24x4MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.437C soc2@43C/43.062C soc0@43.406C/43.656C gpu@43.312C/43.593C tj@43.406C/43.656C soc1@42.437C/42.531C VDD_IN 3059mW/3061mW/3341mW VDD_CPU_GPU_CV 483mW/496mW/683mW VDD_SOC 1006mW/1007mW/1046mW
26.927 09-16-2026 16:31:14 RAM 2172/7486MB (lfb 24x4MB) CPU [3%@729,0%@729,1%@729,0%@729,2%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.437C soc2@42.906C/43.062C soc0@43.312C/43.656C gpu@43.406C/43.593C tj@43.406C/43.656C soc1@42.343C/42.531C VDD_IN 3019mW/3061mW/3341mW VDD_CPU_GPU_CV 483mW/496mW/683mW VDD_SOC 1006mW/1007mW/1046mW
27.436 09-16-2026 16:31:15 RAM 2172/7486MB (lfb 24x4MB) CPU [0%@729,1%@729,1%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.375C/43.437C soc2@42.875C/43.062C soc0@43.343C/43.656C gpu@43.062C/43.593C tj@43.375C/43.656C soc1@42.375C/42.531C VDD_IN 3019mW/3060mW/3341mW VDD_CPU_GPU_CV 483mW/496mW/683mW VDD_SOC 1006mW/1007mW/1046mW
27.944 09-16-2026 16:31:15 RAM 2172/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,1%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.375C/43.437C soc2@42.968C/43.062C soc0@43.281C/43.656C gpu@43.125C/43.593C tj@43.375C/43.656C soc1@42.406C/42.531C VDD_IN 3019mW/3059mW/3341mW VDD_CPU_GPU_CV 483mW/495mW/683mW VDD_SOC 1006mW/1007mW/1046mW
28.452 09-16-2026 16:31:16 RAM 2172/7486MB (lfb 24x4MB) CPU [4%@729,7%@729,6%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.437C soc2@42.968C/43.062C soc0@43.343C/43.656C gpu@43.218C/43.593C tj@43.343C/43.656C soc1@42.312C/42.531C VDD_IN 3139mW/3060mW/3341mW VDD_CPU_GPU_CV 563mW/497mW/683mW VDD_SOC 1006mW/1007mW/1046mW
28.959 09-16-2026 16:31:16 RAM 2172/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.218C/43.437C soc2@42.937C/43.062C soc0@43.531C/43.656C gpu@43.125C/43.593C tj@43.531C/43.656C soc1@42.343C/42.531C VDD_IN 3059mW/3060mW/3341mW VDD_CPU_GPU_CV 483mW/496mW/683mW VDD_SOC 1006mW/1007mW/1046mW
