12.169 09-16-2026 12:08:56 RAM 1754/7486MB (lfb 13x4MB) CPU [3%@729,5%@729,3%@729,5%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.375C/44.75C soc2@44.218C/44.531C soc0@45.062C/45.125C gpu@44.906C/44.937C tj@45.062C/45.125C soc1@43.656C/43.937C VDD_IN 3577mW/3625mW/3818mW VDD_CPU_GPU_CV 482mW/530mW/602mW VDD_SOC 1125mW/1115mW/1125mW
12.675 09-16-2026 12:08:57 RAM 1754/7486MB (lfb 13x4MB) CPU [3%@729,0%@729,5%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.468C/44.75C soc2@44.375C/44.531C soc0@44.906C/45.125C gpu@44.781C/44.937C tj@44.906C/45.125C soc1@43.812C/43.937C VDD_IN 3536mW/3622mW/3818mW VDD_CPU_GPU_CV 482mW/528mW/602mW VDD_SOC 1085mW/1114mW/1125mW
13.180 09-16-2026 12:08:57 RAM 1753/7486MB (lfb 13x4MB) CPU [1%@729,0%@729,3%@729,2%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@44.593C/44.75C soc2@44.25C/44.531C soc0@44.843C/45.125C gpu@44.593C/44.937C tj@44.875C/45.125C soc1@43.781C/43.937C VDD_IN 3577mW/3620mW/3818mW VDD_CPU_GPU_CV 482mW/527mW/602mW VDD_SOC 1085mW/1113mW/1125mW
13.686 09-16-2026 12:08:58 RAM 1753/7486MB (lfb 13x4MB) CPU [12%@729,0%@729,7%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.593C/44.75C soc2@44.375C/44.531C soc0@44.937C/45.125C gpu@44.75C/44.937C tj@44.937C/45.125C soc1@43.718C/43.937C VDD_IN 3577mW/3618mW/3818mW VDD_CPU_GPU_CV 522mW/526mW/602mW VDD_SOC 1125mW/1113mW/1125mW
14.193 09-16-2026 12:08:58 RAM 1752/7486MB (lfb 13x4MB) CPU [9%@729,13%@729,7%@729,8%@729,3%@729,0%@729] GR3D_FREQ 0% cpu@44.625C/44.75C soc2@44.343C/44.531C soc0@44.906C/45.125C gpu@44.625C/44.937C tj@44.906C/45.125C soc1@43.718C/43.937C VDD_IN 3697mW/3621mW/3818mW VDD_CPU_GPU_CV 602mW/529mW/602mW VDD_SOC 1125mW/1113mW/1125mW
14.699 09-16-2026 12:08:59 RAM 1752/7486MB (lfb 13x4MB) CPU [6%@729,0%@729,2%@729,9%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@44.468C/44.75C soc2@44.312C/44.531C soc0@45C/45.125C gpu@44.718C/44.937C tj@45C/45.125C soc1@43.75C/43.937C VDD_IN 3617mW/3621mW/3818mW VDD_CPU_GPU_CV 522mW/529mW/602mW VDD_SOC 1125mW/1114mW/1125mW
15.205 09-16-2026 12:08:59 RAM 1751/7486MB (lfb 13x4MB) CPU [0%@729,0%@729,2%@729,2%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@44.406C/44.75C soc2@44.343C/44.531C soc0@44.968C/45.125C gpu@44.718C/44.937C tj@44.968C/45.125C soc1@43.781C/43.937C VDD_IN 3617mW/3621mW/3818mW VDD_CPU_GPU_CV 522mW/529mW/602mW VDD_SOC 1085mW/1113mW/1125mW
15.711 09-16-2026 12:09:00 RAM 1751/7486MB (lfb 13x4MB) CPU [3%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.468C/44.75C soc2@44.281C/44.531C soc0@44.906C/45.125C gpu@44.625C/44.937C tj@44.875C/45.125C soc1@43.781C/43.937C VDD_IN 3577mW/3620mW/3818mW VDD_CPU_GPU_CV 522mW/528mW/602mW VDD_SOC 1125mW/1113mW/1125mW
16.217 09-16-2026 12:09:00 RAM 1751/7486MB (lfb 13x4MB) CPU [4%@729,0%@729,0%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.656C/44.75C soc2@44.406C/44.531C soc0@44.875C/45.125C gpu@44.531C/44.937C tj@44.875C/45.125C soc1@43.781C/43.937C VDD_IN 3617mW/3619mW/3818mW VDD_CPU_GPU_CV 522mW/528mW/602mW VDD_SOC 1125mW/1114mW/1125mW
16.723 09-16-2026 12:09:01 RAM 1751/7486MB (lfb 13x4MB) CPU [0%@729,2%@729,0%@729,1%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@44.562C/44.75C soc2@44.312C/44.531C soc0@44.781C/45.125C gpu@44.531C/44.937C tj@44.781C/45.125C soc1@43.75C/43.937C VDD_IN 3577mW/3618mW/3818mW VDD_CPU_GPU_CV 522mW/528mW/602mW VDD_SOC 1085mW/1113mW/1125mW
